Document	Matched Term	Code	Concept Name	Semantic Type	Annotations	Certainty	ContextualAspect	ContextualModality	Degree	Experiencer	Permanence	Polarity	Temporality
14997857.txt	calcium	RID11800	RID11800		calcium/60								
14997857.txt	calcium scores	RID28808	RID28808		calcium/60, scores/68								
14997857.txt	asymptomatic	RID38811	RID38811		asymptomatic/94								
14997857.txt	white	RID39151	RID39151		white/107								
14997857.txt	assessment	RID36026	RID36026		assessment/138								
14997857.txt	computed tomography	RID10321	RID10321		computed/164, tomography/173								
14997857.txt	tomography	RID28840	RID28840		tomography/173								
14997857.txt	ages	RID11854	RID11854		ages/207								
14997857.txt	old	RID5721	RID5721		old/236								
14997857.txt	computed tomography	RID10321	RID10321		computed/277, tomography/286								
14997857.txt	tomography	RID28840	RID28840		tomography/286								
14997857.txt	calcium	RID11800	RID11800		calcium/347								
14997857.txt	groups	RID5700	RID5700		groups/387								
14997857.txt	mean	RID39224	RID39224		mean/500								
14997857.txt	deviation	RID10445	RID10445		deviation/518								
14997857.txt	calcium	RID11800	RID11800		calcium/590								
14997857.txt	calcium score	RID28808	RID28808		calcium/590, score/598								
14997857.txt	superior	RID5822	RID5822		superior/608								
14997857.txt	large	RID5778	RID5778		large/665								
14997857.txt	calcium	RID11800	RID11800		calcium/761								
14997857.txt	calcium scores	RID28808	RID28808		calcium/761, scores/769								
14997857.txt	comparison	RID28483	RID28483		comparison/811								
14997857.txt	groups	RID5700	RID5700		groups/849								
14997857.txt	old	RID5721	RID5721		old/878								
14997857.txt	median	RID5846	RID5846		median/949								
14997857.txt	scores calcium	RID28808	RID28808		scores/956, calcium/975								
14997857.txt	calcium	RID11800	RID11800		calcium/975								
14997857.txt	calcium	RID11800	RID11800		calcium/1006								
14997857.txt	calcium scores	RID28808	RID28808		calcium/1006, scores/1014								
14997857.txt	reported	RID45924	RID45924		reported/1025								
14997857.txt	groups	RID5700	RID5700		groups/1093								
14997857.txt	CONCLUSION report	RID13170	RID13170		CONCLUSION/1101, report/1134								
14997857.txt	first	RID5996	RID5996		first/1125								
14997857.txt	report	RID28487	RID28487		report/1134								
14997857.txt	calcium	RID11800	RID11800		calcium/1170								
14997857.txt	calcium scores	RID28808	RID28808		calcium/1170, scores/1178								
14997857.txt	white	RID39151	RID39151		white/1200								
14997857.txt	computed tomography	RID10321	RID10321		computed/1304, tomography/1313								
14997857.txt	tomography	RID28840	RID28840		tomography/1313								
14997857.txt	coronary artery	RID35862	RID35862		coronary/1325, artery/1334								
14997857.txt	coronary artery	RID28727	RID28727		coronary/1325, artery/1334								
14997857.txt	artery	RID478	RID478		artery/1334								
14997857.txt	diagnosis	RID10394	RID10394		diagnosis/1350								
14997857.txt	Atherosclerosis	RID39049	RID39049		Atherosclerosis/1369								
14997857.txt	major	RID5692	RID5692		major/1399								
14997857.txt	high	RID46060	RID46060		high/1520								
14997857.txt	high risk	RID46067	RID46067		high/1520, risk/1525								
14997857.txt	therapies	RID8	RID8		therapies/1603								
14997857.txt	change	RID49896	RID49896		change/1624								
14997857.txt	present	RID28472	RID28472		present/1984								
14997857.txt	previous	RID5726	RID5726		previous/1992								
14997857.txt	symptoms	RID39050	RID39050		symptoms/2001								
14997857.txt	limitations	RID5684	RID5684		limitations/2116								
14997857.txt	high	RID46060	RID46060		high/2162								
14997857.txt	high risk	RID46067	RID46067		high/2162, risk/2167								
14997857.txt	deaths	RID34658	RID34658		deaths/2221								
14997857.txt	myocardial infarctions	RID3236	RID3236		myocardial/2237, infarctions/2248								
14997857.txt	infarctions	RID5172	RID5172		infarctions/2248								
14997857.txt	low	RID46059	RID46059		low/2297								
14997857.txt	intermediate	RID5775	RID5775		intermediate/2305								
14997857.txt	assessment	RID36026	RID36026		assessment/2385								
14997857.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/2411								
14997857.txt	atherosclerotic plaque	RID3290	RID3290		atherosclerotic/2526, plaque/2542								
14997857.txt	Coronary artery	RID35862	RID35862		Coronary/2607, artery/2616								
14997857.txt	Coronary artery	RID28727	RID28727		Coronary/2607, artery/2616								
14997857.txt	Coronary artery calcification	RID50146	RID50146		Coronary/2607, artery/2616, calcification/2623								
14997857.txt	Coronary calcification	RID50146	RID50146		Coronary/2607, calcification/2623								
14997857.txt	artery	RID478	RID478		artery/2616								
14997857.txt	calcification	RID5196	RID5196		calcification/2623								
14997857.txt	computed	RID10321	RID10321		computed/2672								
14997857.txt	tomography	RID28840	RID28840		tomography/2681								
14997857.txt	tomography	RID28840	RID28840		tomography/2696								
14997857.txt	atherosclerotic plaque	RID3290	RID3290		atherosclerotic/2756, plaque/2772								
14997857.txt	intravascular	RID11159	RID11159		intravascular/2820								
14997857.txt	ultrasound	RID10326	RID10326		ultrasound/2834								
14997857.txt	10	RID6014	RID6014		10/2855								
14997857.txt	computed tomography	RID10321	RID10321		computed/2873, tomography/2882								
